ACT	Morningroom
one	one
of‘the	of
nameof	the
Cecily	name
‘	of
null	Cecily
Enter	Enter
LANE	Lane
ALGERNON	Algernon
Bring	Bring
me	me
that	that
cigarette	cigarette
case	case
Mr	Mr
Worthing	Worthing
left	left
e	in
smokingroom	null
the	the
last	smoking
time	room
he	the
dined	last
here	time
LANE	he
Yess2r	dined
LANE	here
goes	Lane
out	Yes
8	sir
2w	Lane
IMPORTANCE	goes
OF	out
game	Jack
gnﬁqgsw	null
JACK	null
Do	Do
you	you
mean	mean
to	to
say	say
you	you
have	have
had	had
my	my
cigarette	cigarette
case	case
all	all
this	this
time	time
I	I
wish	wish
to	to
goodness	goodness
you	you
had	had
let	let
me	me
know	know
I	I
have	have
been	been
writing	writing
frantic	frantic
letters	letters
to	to
Scotland	Scotland
Yard	Yard
about	about
it	it
I	I
was	was
very	very
nearly	nearly
offering	offering
a	a
large	large
reward	reward
ALgERNON	Algernon
Well	Well
I	I
wish	wish
you	you
would	would
offer	offer
one	one
I	I
happen	happen
to	to
be	be
more	more
than	than
usually	usually
hard	hard
up	up
JACK	Jack
There	There
is	is
nogood	no
oﬂ’ering	good
null	offering
a	a
large	large
reward	reward
now	now
that	that
the	the
thing	thing
is	is
found	found
Enter	Enter
LANE	Lane
with	with
the	the
cigarette	cigarette
case	case
on	on
a	a
salter	salver
ALGERNON	Algernon
takes	takes
it	it
at	at
once	once
LANE	Lane
I	null
goes	goes
out	out
ALGERNON	Algernon
I	I
think	think
that	that
is	is
rather	rather
mean	mean
of	of
you	you
Ernest	Ernest
Imust	I
f	must
say	say
Gyms	Opens
case	case
and	and
examines	examines
it	it
However	However
i‘	it
makes	makes
nomatter	no
null	matter
for	for
now	now
that	that
I	I
look	look
at	at
the	the
inscri	inscription
tion	null
inside	inside
I	I
find	find
that	that
the	the
thing	thing
isn’t	isnt
yours	yours
after	after
a‘l	all
JACK	Jack
Of	Of
course	course
it’s	its
mine	mine
Moving	Moving
to	to
him	him
You	You
5	null
have	have
seen	seen
me	me
with	with
it	it
a	a
hundred	hundred
times	times
and	and
you	you
have	have
I	null
no	no
right	right
whatsoever	whatsoever
to	to
read	read
whatgis	what
null	is
written	written
inside	inside
It	It
is	is
a	a
very	very
ungentlemanly	ungentlemanly
thing	thing
to	to
read	read
a	a
private	private
x	null
cigarette	cigarette
case	case
‘	Algernon
ALGERNON	null
Oh	Oh
it	it
is	is
absurd	absurd
to	to
have	have
a	a
hardandriast	hard
rule“	and
null	fast
null	rule
about	about
what	what
one	one
should	should
read	read
and	and
what	what
one	one
shouldn’t	shouldnt
More	More
than	than
half	half
of	of
moderneulture	modern
null	culture
depends	depends
on	on
what	what
an	one
shouldn’t	shouldnt
vixead	read
’	Jack
or	null
some	null
2m	null
er	null
“9‘	null
was	null
I	I
am	am
quite	quite
aware	aware
of	of
the	the
fact	fact
and	and
I	I
dont	dont
phases	propose
to	to
discuss	discuss
modern	modern
culture	culture
It	It
isn’t	isnt
the	the
sort	sort
of	of
thing	thing
one	one
should	should
talk	talk
of	of
in	in
private	private
I	I
simply	simply
want	want
my	my
cigarette	cigarette
case	case
back	back
ALGERNON	Algernon
Yes	Yes
but	but
this	this
isn’t	isnt
your	your
cigarette	cigarette
case	case
Thisciga	This
rette	cigarette
case	case
is	is
a	a
present	present
from	from
some	some
one	one
of	of
t‘henameof	the
null	name
null	of
Cecily	Cecily
and	and
you	you
said	said
you	you
didn’t	didnt
know	know
any	any
one	one
of	of
that	that
name	name
JACK	Jack
Well	Well
if	if
you	you
want	want
to	to
know	know
Cecily	Cecily
happens	happens
to	to
be	be
my	my
aunt	aunt
L	Algernon
ALGERNON	null
Your	Your
aunt	aunt
JACK	Jack
Yes	Yes
Charming	Charming
old	old
lady	lady
she	she
is	is
too	too
Lives	Lives
at	at
Tunbridge	Tunbridge
Wells	Wells
Just	Just
give	give
it	it
back	back
tense	to
Algy	me
ALGERNON	Algy
I	Algernon
Rehearing	Retreating
to	to
back	back
of	of
safe	sofa
But	But
why	why
does	does
she	she
call	call
herself	herself
little	little
Cecily	Cecily
if	if
she	she
is	is
your	your
aunt	aunt
and	and
lives	lives
at	at
Tunbridge	Tunbridge
Wells	Wells
Reading	Reading
“	null
From	From
little	little
»Ceoily	Cecily
with	with
her	her
fondest	fondest
love”	love
JACK	Jack
M	Moving
owing	null
to	to
sofa	sofa
and	and
kneeling	kneeling
upon	upon
it	it
My	My
dear	dear
K’fellow’	fellow
what	what
on	on
earth	earth
is	is
there	there
in	in
that	that
Some	Some
aunts	aunts
are	are
tall	tall
some	some
aunts	aunts
are	are
not	not
till	tall
That	That
is	is
a	a
fna’t‘ter	matter
that	that
surely‘an	surely
null	an
aunt	aunt
may	may
be	be
allowed”	allowed
to	to
decide	decide
for	for
herself	herself
You	You
seem	seem
to	to
think	think
that	that
every	every
aunt	aunt
shoulﬂ	should
10	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
be	be
exactly	exactly
like	like
your	your
aunt	aunt
That	That
is	is
absurd	absurd
For	For
Heaven’s	Heavens
sake	sake
give	give
me	me
back	back
my	my
cigarette	cigarette
case	case
Follows	Follows
ERNEST	Algernon
round	round
the	the
room	room
ALGERNON	Algernon
Yes	Yes
But	But
why	why
does	does
your	your
aunt	aunt
call	call
you	you
her	her
uncle	uncle
“From	From
little	little
Cecily	Cecily
with	with
her	her
fondest	fondest
love	love
to	to
hel	her
dear	dear
Uncle	Uncle
Jack”	Jack
There	There
is	is
no	no
objection	objection
I	I
admit	admit
to	to
an	an
aunt	aunt
being	being
a	a
small	small
aunt	aunt
but	but
why	why
an	an
aunt	aunt
no	no
matter	matter
what	what
her	her
size	size
may	may
be	be
should	should
call	call
her	her
own	own
nephew	nephew
her	her
uncle	uncle
I	I
can’t	cant
quite	quite
make	make
out	out
Besides	Besides
your	your
name	name
isn’t	isnt
Jack	Jack
at	at
all	all
it	it
is	is
Ernest	Ernest
JACK	Jack
It	It
isn’t	isnt
Ernest	Ernest
it’s	its
Jack	Jack
ALGERNON	Algernon
You	You
have	have
always	always
told	told
me	me
it	it
was	was
Ernest	Ernest
I	I
have	have
introduced	introduced
you	you
to	to
every	every
one	one
as	as
Ernest	Ernest
You	You
an—	answer
swer	null
to	to
the	the
name	name
of	of
Ernest	Ernest
You	You
look	look
as	as
if	if
your	your
name	name
was	was
Ernest	Ernest
You	You
are	are
the	the
most	most
earnest	earnestlooking
looking	null
person	person
I	I
ever	ever
saw	saw
in	in
my	my
life	life
It	It
is	is
perfectly	perfectly
absurd	absurd
your	your
saying	saying
that	that
your	your
name	name
isn’t	isnt
Ernest	Ernest
It’s	Its
on	on
your	your
cards	cards
Here	Here
is	is
one	one
of	of
them	them
Taking	Taking
it	it
from	from
case	case
“	Mr
Mr	Ernest
ErnestWorthing	Worthing
B	B
4	4
The	The
Albany”	Albany
I’ll	Ill
keep	keep
this	this
as	as
a	a
proof	proof
null	that
your	your
name	name
is	is
Ernest	Ernest
if	if
ever	ever
you	you
attempt	attempt
to	to
deny	deny
it	it
to	to
me	me
or	or
to	to
Gwendolen	Gwendolen
or	or
to	to
any	any
one	one
else	else
Puts	Puts
the	the
card	card
in	in
his	his
ﬁacket	pocket
JACK	Jack
Well	Well
my	my
name	name
is	is
Ernest	Ernest
in	in
town	town
and	and
Jack	Jack
in	in
the	the
country	country
and	and
the	the
cigarette	cigarette
case	case
was	was
given	given
to	to
me	me
in	in
the	the
country	country
1115	Algernon
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
u	null
I	null
ALGERNON	null
Yes	Yes
but	but
that	that
does	does
not	not
account	account
for	for
the	the
fact	fact
that	that
your	your
small	small
Aunt	Aunt
Cecily	Cecily
who	who
lives	lives
at	at
Tunbridge	Tunbridge
Wells	Wells
calls	calls
you	you
her	her
dear	dear
uncle	uncle
Come	Come
old	old
boy	boy
you	you
had	had
much	much
better	better
have	have
the	the
thing	thing
out	out
at	at
once	once
JACK	Jack
Mydear	My
null	dear
Algy	Algy
you	you
talk	talk
exactly	exactly
as	as
if	if
you	you
were	were
a	a
dentist	dentist
It	It
is	is
very	very
vulgar	vulgar
to	to
talk	talk
like	like
a	a
dentist	dentist
when	when
one	one
isn’t	isnt
a	a
dentist	dentist
It	It
produces	produces
a	a
false	false
impression	impression
ALGERNON	Algernon
Well	Well
that	that
is	is
exactly	exactly
what	what
dentists	dentists
always	always
do	do
Nowgo	Now
null	go
on	on
Tell	Tell
me	me
the	the
whole	whole
thing	thing
I	I
may	may
mention	mention
that	that
I	I
have	have
always	always
suspected	suspected
you	you
of	of
being	being
a	a
conﬁrmed	confirmed
and	and
secret	secret
Bunburyist	Bunburyist
and	and
I	I
am	am
quite	quite
sure	sure
of	of
it	it
now	now
JACK	Jack
Bunburyist	Bunburyist
What	What
on	on
earth	earth
do	do
you	you
mean	mean
by	by
a	a
Bunburyist	Bunburyist
ALGERNON	Algernon
I’ll	Ill
reveal	reveal
to	to
you	you
the	the
meaning	meaning
of	of
that	that
incomparable	incomparable
expression	expression
as	as
soon	soon
as	as
you	you
are	are
kind	kind
enough	enough
to	to
inform	inform
me	me
why	why
you	you
are	are
Ernest	Ernest
in	in
town	town
and	and
Jack	Jack
in	in
L	null
the	the
country	country
‘	Jack
JACK	null
Well	Well
produce	produce
my	my
cigarette	cigarette
case	case
ﬁrst	first
‘	Algernon
ALGERNON	null
7	null
Here	Here
it	it
is	is
Hands	Hands
cigarette	cigarette
cam	case
Now	Now
proe	produce
your	your
explanation	explanation
and‘pray	and
null	pray
make	make
it	it
improbable	improbable
H	null
Sits	Sits
on	on
sofa	sofa
I2	Jack
HE	null
LVPORZAATE	null
0ﬁ‘BELNGEARNET	null
JACK	null
My	My
dear	dear
fellow	fellow
there	there
is	is
nothing	nothing
improbable	improbable
about	about
my	my
explanation	explanation
at	at
all	all
In	In
fact	fact
it’s	its
perfectly	perfectly
ordinary	ordinary
Old	Old
Mr	Mr
Thomas	Thomas
Cardew	Cardew
who	who
adopted	adopted
me	me
when	when
I	I
was	was
a	a
little	little
boy	boy
made	made
me	me
in	in
his	his
will	will
guard—	guardian
ian	null
to	to
his	his
granddaughter	granddaughter
Miss	Miss
Cecily	Cecily
Cardew	Cardew
Cecily	Cecily
who	who
addresses	addresses
me	me
as	as
her	her
uncle	uncle
from	from
motives	motives
of	of
respect	respect
that	that
you	you
could	could
not	not
possibly	possibly
appreciate	appreciate
lives	lives
at	at
my	my
place	place
in	in
the	the
country	country
under	under
the	the
charge	charge
of	of
her	her
admirable	admirable
governess	governess
Miss	Miss
Prism	Prism
ALGERNON	Algernon
Where	Where
is	is
that	that
place	place
in	in
the	the
country	country
by	by
the	the
way	way
JACK	Jack
That	That
is	is
nothing	nothing
to	to
you	you
dear	dear
boy	boy
You	You
are	are
not	not
going	going
to	to
be	be
invited	invited
I	I
may	may
tell	tell
you	you
candidly	candidly
that	that
the	the
place	place
is	is
not	not
in	in
Shropshire	Shropshire
ALGERNON	Algernon
I	I
suspected	suspected
that	that
my	my
dear	dear
fellow	fellow
buryed	I
null	have
null	Bunburyed
all	all
over	over
Shropshireon	Shropshire
null	on
two	two
separate	separate
occasions	occasions
Now	Now
go	go
on	on
Why	Why
are	are
you	you
Ernest	Ernest
in	in
town	town
and	and
Jack	Jack
in	in
the	the
country	country
JACK	Jack
My	My
dear	dear
Algy	Algy
I	I
don’t	dont
know	know
whether	whether
yOu	you
will	will
be	be
able	able
to	to
understand	understand
my	my
real	real
motives	motives
You	You
are	are
hardly	hardly
serious	serious
enough	enough
When	When
one	one
is	is
placed	placed
in	in
the	the
position	position
of	of
guardian	guardian
one	one
has	has
to	to
adopt	adopt
a	a
very	very
high	high
moral	moral
tOne	tone
on	on
all	all
subjects	subjects
It’s	Its
one’s	ones
duty	duty
to	to
do	do
so	so
And	And
as	as
a	a
high	high
moral	moral
tone	tone
can	can
hardly	hardly
be	be
said	said
to	to
conduce	conduce
very	very
much	much
to	to
either	either
one’s	ones
health	health
or	or
one’s	ones
happiness	happiness
in	in
order	order
to	to
get	get
up	up
to	to
town	town
I	I
have	have
always	always
pretended	pretended
to	to
have	have
a	a
younger	younger
brother	brother
of	of
the	the
name	name
of	of
Ernest	Ernest
who	who
I	null
have	null
Bun—r	null
me	null
“egressa	null
jnié	null
IMPORTANCE	null
OF	null
BEING	null
EARVEST	null
13	null
lives	lives
in	in
the	the
Albany	Albany
and	and
gets	gets
into	into
the	the
most	most
dreadful	dreadful
scrapes	scrapes
That	That
my	my
dear	dear
Algy	Algy
is	is
the	the
whole	whole
truth	truth
pure	pure
and	and
simple	simple
ALGERNON	Algernon
The	The
truth	truth
is	is
rarely	rarely
pure	pure
and	and
never	never
simple	simple
Modern	Modern
life	life
would	would
be	be
very	very
tedious	tedious
if	if
it	it
were	were
either	either
and	and
modern	modern
literature	literature
a	a
complete	complete
impossibility	impossibility
JACK	Jack
That	That
wouldn’t	wouldnt
be	be
at	at
all	all
a	a
bad	bad
thing	thing
ALGERNON	Algernon
Literary	Literary
criticism	criticism
is	is
not	not
your	your
forte	forte
my	my
dear	dear
fel	fellow
low	Dont
Don’t	null
try	try
it	it
You	You
should	should
leave	leave
that	that
to	to
people	people
Who	who
haven’t	havent
been	been
at	at
a	a
University	University
They	They
do	do
it	it
so	so
well	well
in	in
the	the
daily	daily
papers	papers
What	What
you	you
really	really
are	are
is	is
a	a
Bunburyist	Bunburyist
I	I
was	was
quite	quite
right	right
in	in
saying	saying
you	you
were	were
a	a
Bunburyist	Bunburyist
You	You
are	are
one	one
of	of
the	the
most	most
advanced	advanced
Bunburyists	Bunburyists
I	I
know	know
JACK	Jack
What	What
on	on
earth	earth
do	do
you	you
mean	mean
ALGERNON	Algernon
You	You
have	have
invented	invented
a	a
very	very
useful	useful
younger	younger
brother	brother
icalled	called
Ernest	Ernest
in	in
order	order
that	that
you	you
may	may
be	be
able	able
to	to
come	come
I	null
up	up
to	to
town	town
as	as
often	often
as	as
you	you
like	like
I	I
have	have
invented	invented
an	an
invaluable	invaluable
permanent	permanent
invalid	invalid
called	called
Bunbury	Bunbury
in	in
“order	order
that	that
I	I
may	may
be	be
able	able
to	to
go	go
down	down
into	into
the	the
country	country
u	null
whenever	whenever
‘I	I
choose	choose
Bunbury	Bunbury
is	is
perfectly	perfectly
invaluble	invaluable
If	If
itwasn’t	it
null	wasnt
for	for
Bunbury’s	Bunburys
extraordinary	extraordinary
bad	bad
with	health
for	for
instance	instance
I	I
wouldn’t	wouldnt
be	be
able	able
to	to
dine	dine
with	with
on	you
at	at
Willis’s	Williss
to—night’for	to
null	night
null	for
I	I
have	have
been	been
really	really
enjgaged	engaged
to	to
Aunt	Aunt
Augusta	Augusta
for	for
more	more
than	than
a	a
week	week
14	Jack
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
JACK	null
I	I
haven’t	havent
asked	asked
you	you
to	to
dine	dine
with	with
me	me
anywhere	anywhere
tonight	tonight
ALGERNON	Algernon
I	I
know	know
You	You
are	are
absurdly	absurdly
careless	careless
about	about
sending	sending
out	out
invitations	invitations
It	It
is	is
very	very
foolish	foolish
of	of
you	you
Nothing	Nothing
annoys	annoys
people	people
so‘much	so
null	much
as	as
not	not
receiving	receiving
invitations	invitations
JACK	Jack
You	You
had	had
much	much
better	better
dine	dine
with	with
your	your
Aunt	Aunt
Augusta	Augusta
ALGERNON	Algernon
I	I
haven’t	havent
the	the
smallest	smallest
intention	intention
of	of
doing	doing
anything	anything
of	of
the	the
kind	kind
To	To
begin	begin
with	with
