HARVARD	Sir
Vols	null
l	null
and	null
Iloontalnln	null
NolrnArtm	null
Ann	null
were	null
prlnted	null
by	null
C	null
Rowe	null
Bellyard	null
Temple	null
Bar	null
Vols	null
Ill	null
and	null
IV	null
mulning	null
Putalmost	null
were	null
rlnted	null
by	null
T	null
Davlson	null
embed	null
Street	null
Whit	null
rlan	null
London	null
PREFACL	null
iv	null
of	null
the	null
int	null
exec	null
u	null
m	null
corrected	null
which	null
n	null
being	null
enclooed	null
in	null
«pure	null
inanPrint	null
dutafevobviommmnn	null
indicatcd	null
by	null
the	null
we	null
lunch	null
LIST	null
OF	null
ILLUSTRATIONS	null
I	null
All	null
Sony	null
10	null
mm	null
vou	null
Unwru	null
leitﬂau	null
Tm	null
Accmnrr	null
no	null
104	null
Wmrworra’	null
erm	null
236	null
PERSUASION	null
“—	null
cbvm	null
3	null
IR	null
WALTER	null
ELLIOT	null
of	null
Kellynch	Kellynch
Hall	Hall
S	null
in	in
Somcraeuhirc	Somersetshire
was	was
a	a
man	man
who	who
for	for
his	his
own	own
amusement	amusement
never	never
took	took
up	up
any	any
book	book
but	but
the	the
Baronetage	Baronetage
there	there
he	he
found	found
occupation	occupation
for	for
an	an
idle	idle
hour	hour
and	and
consolation	consolation
in	in
a	a
distrened	distressed
one	one
there	there
his	his
faculties	faculties
were	were
roused	roused
into	into
admiration	admiration
and	and
respect	respect
by	by
contemplating	contemplating
the	the
limited	limited
remnant	remnant
of	of
the	the
earliest	earliest
patents	patents
there	there
any	any
unwelcome	unwelcome
sensations	sensations
arising	arising
from	from
domestic	domestic
affairs	affairs
changed	changed
naturally	naturally
into	into
pity	pity
and	and
contempt	contempt
As	as
he	he
turned	turned
over	over
the	the
almost	almost
endless	endless
creations	creations
of	of
the	the
last	last
century	century
and	and
there	there
if	if
every	every
other	other
leaf	leaf
were	were
powerless	powerless
he	he
could	could
read	read
his	his
own	own
history	history
with	with
an	an
interest	interest
which	which
never	never
failed	failed
this	This
was	was
the	the
page	page
at	at
which	which
the	the
favourite	favourite
volume	volume
always	always
opened	opened
—	ELLIOT
suror‘	OF
or	KELLYNCH
numlcn	null
HALL	HALL
Waller	Walter
Elliot	Elliot
born	born
March	March
I	1
I760	1760
married	married
July	July
lg	15
r784	1784
Elizabeth	Elizabeth
daughter	daughter
of	of
James	James
Stevenson	Stevenson
Esq	Esq
of	of
South	South
Park	Park
in	in
the	the
county	county
of	of
Gloucester	Gloucester
by	by
wind	which
lady	lady
who	who
died	died
1800	1800
he	he
has	has
issue	issue
Elizabeth	Elizabeth
born	born
June	June
I	1
r78“	1785
Anne	Anne
born	born
August	August
9	9
I787	1787
11	a
nillbom	stillborn
son	son
overnber	November
5	5
r789	1789
Mary	Mary
born	born
November	November
20	20
r79r	1791
2	Precisely
PERSUASION	such
Precinly	null
each	null
had	had
the	the
pangle	paragraph
originally	originally
wood	stood
from	from
the	the
rinterl	printers
hande	hands
but	but
Sir	Sir
alter	Walter
had	had
null	improved
it	it
by	by
ng	adding
for	for
the	the
information	information
of	of
himself	himself
and	and
his	his
family	family
that	these
words	words
after	after
the	the
date	date
of	of
Mary’a	Marys
binb	birthMarried
—	null
“	null
Married	null
December	December
16	16
1810	1810
Charley	Charles
ton	son
and	and
heir	heir
of	of
Charles	Charles
Mulgmve	Musgrove
null	Esq
of	of
Uppercrou	Uppercross
in	in
the	the
county	county
of	of
Somenet	Somerset
and	and
by	by
inaening	inserting
most	most
accurately	accurately
the	the
day	day
of	of
the	the
month	month
on	on
which	which
he	he
had	had
lost	lost
his	his
wife	wife
Then	Then
followed	followed
the	the
history	history
and	and
rite	rise
of	of
the	the
ancient	ancient
and	and
respectable	respectable
famil	family
in	in
the	the
ueual	usual
terms	terms
how	how
it	it
had	had
been	been
ﬁnt	first
aettled	settled
in	in
éhethire	Cheshire
how	how
mentioned	mentioned
in	in
Dugdale	Dugdale
serving	serving
the	the
ollice	office
of	of
high	high
sheriff	sheriff
representing	representing
a	a
borough	borough
in	in
three	three
euconuve	successive
parliamenu	parliaments
ateniona	exertions
of	of
loyalty	loyalty
and	and
dignity	dignity
of	of
bamnet	baronet
in	in
the	the
ﬁn	first
year	year
of	of
Charles	Charles
II	II
with	with
all	all
the	the
Marya	Marys
and	and
Elizabeth	Elizabeths
they	they
had	had
married	married
forming	forming
altogether	altogether
two	two
lundnnme	handsome
duodecimo	duodecimo
pages	pages
and	and
concludin	concluding
with	with
the	the
arm	arms
and	and
motto—	mottoPrincipal
“Principal	seat
neat	Kellynch
Ke	null
lynch	null
Hall	Hall
in	in
the	the
county	county
of	of
Sortnet”	Somerset
and	and
Sir	Sir
Waltera	Walters
handwriting	handwriting
again	again
in	in
thia	this
ﬁn	finale
e—	Heir
“Heir	presumptive
premmptive	null
William	William
Walter	Walter
Elliot	Elliot
151	Esq
4	null
great	great
grandson	grandson
of	of
the	the
oecond	second
Sir	Sir
Walter	Walter
Vanity	Vanity
wan	was
the	the
beginning	beginning
and	and
null	the
end	end
of	of
Sir	Sir
Walter	Walter
Elliot’l	Elliots
character	character
vanity	vanity
of	of
person	person
and	and
of	of
aituation	situation
He	He
had	had
been	been
remarkably	remarkably
handsome	handsome
in	in
hie	his
youth	youth
and	and
at	at
ﬁftyfour	fiftyfour
wan	was
still	still
a	a
very	very
ﬁne	fine
man	man
Few	Few
women	women
could	could
think	think
more	more
oftheir	of
penonal	their
null	personal
appearance	appearance
than	than
he	he
did	did
nor	nor
could	could
the	the
valet	valet
of	of
any	any
new	new
made	made
lord	lord
be	be
more	more
delighted	delighted
with	with
the	the
place	place
he	he
held	held
in	in
society	society
He	He
considered	considered
the	the
Meeting	blessing
of	of
beauty	beauty
at	as
inferior	inferior
onl	only
to	to
the	the
bleuing	blessing
of	of
a	a
baronetcy	baronetcy
and	and
the	the
Sir	Sir
Walter	Walter
E	Elliot
iot	null
who	who
united	united
these	these
gifts	gifts
wan	was
the	the
conuant	constant
object	object
of	of
hit	his
warmest	warmest
t	respect
and	and
devotion	devotion
in	His
good	good
looka	looks
and	and
his	his
rank	rank
had	had
one	one
fair	fair
claim	claim
on	on
hia	his
attachment	attachment
eince	since
to	to
them	them
he	he
must	must
have	have
owed	owed
a	a
wife	wife
rznsuasron	of
3	very
of	superior
v	character
or	to
character	any
In	thing
an	deserved
thin	by
deserved	his
b	own
his	Lady
ownfylflaldeynElliot	Elliot
had	had
been	been
an	an
yexcellent	excellent
womanysensible	woman
null	sensible
and	and
amiable	amiable
whose	whose
judgment	judgement
and	and
conduct	conduct
if	if
they	they
might	might
be	be
pardoned	pardoned
the	the
youthful	youthful
infatuation	infatuation
which	which
made	made
her	her
Lady	Lady
Elliot	Elliot
had	had
never	never
required	required
indulgence	indulgence
afterwards	afterwardsShe
She	null
had	had
hnrnoured	humoured
or	or
softened	softened
or	or
concealed	concealed
his	his
failings	failings
and	and
promoted	promoted
his	his
real	real
rcspccuibility	respectability
for	for
seventeen	seventeen
years	years
and	and
though	though
not	not
the	the
very	very
happiest	happiest
being	being
in	in
the	the
world	world
herself	herself
had	had
found	found
enough	enough
in	in
her	her
duties	duties
her	her
friends	friends
and	and
her	her
children	children
to	to
attach	attach
her	her
to	to
life	life
and	and
make	make
it	it
no	no
matter	matter
of	of
indifference	indifference
to	to
her	her
when	when
she	she
was	was
called	called
on	on
to	to
quit	quit
them	themThree
Three	null
girls	girls
the	the
two	two
eldest	eldest
sixteen	sixteen
and	and
fourteen	fourteen
was	was
an	an
awful	awful
legacy	legacy
for	for
a	a
mother	mother
to	to
bequeath	bequeath
an	an
awful	awful
charge	charge
rather	rather
to	to
conﬁde	confide
to	to
the	the
authority	authority
and	and
guidance	guidance
of	of
a	a
conceited	conceited
silly	silly
father	father
She	She
had	had
however	however
one	one
very	very
intimate	intimate
friend	friend
a	a
sensible	sensible
deserving	deserving
woman	woman
who	who
had	had
been	been
brought	brought
by	by
mng	strong
attachment	attachment
to	to
herself	herself
to	to
settle	settle
close	close
by	by
her	her
in	in
the	the
village	village
of	of
Kellynch	Kellynch
and	and
on	on
her	her
kindness	kindness
and	and
advice	advice
Lady	Lady
Elliot	Elliot
mainly	mainly
relied	relied
for	for
the	the
best	best
help	help
and	and
maintainnnce	maintenance
of	of
the	the
good	good
principles	principles
and	and
instmction	instruction
which	which
she	she
had	had
been	been
anxiously	anxiously
giving	giving
her	her
daughters	daughters
This	This
friend	friend
and	and
Sir	Sir
Walter	Walter
did	did
not	not
marry	marry
whatever	whatever
might	might
have	have
been	been
anticipated	anticipated
on	on
that	that
head	head
by	by
their	their
acquaintance	acquaintance
Thirteen	Thirteen
years	years
had	had
passed	passed
away	away
since	since
Lady	Lady
Elliot’s	Elliots
death	death
and	and
they	they
were	were
still	still
near	near
neighbours	neighbours
and	and
minute	intimate
friends	friends
and	and
one	one
remained	remained
a	a
widower	widower
the	the
other	other
a	a
widow	widow
That	That
Lady	Lady
Russell	Russell
of	of
steady	steady
age	age
and	and
character	character
and	and
extremely	extremely
well	well
provided	provided
for	for
should	should
have	have
no	no
thought	thought
of	of
a	a
second	second
marriage	marriage
needs	needs
no	no
apology	apology
to	to
the	the
public	public
which	which
is	is
rather	rather
apt	apt
to	to
be	be
unreasonably	unreasonably
diuonmted	discontented
when	when
a	a
woman	woman
doe	does
marry	marry
again	again
than	than
when	when
she	she
does	does
not	not
but	but
Sir	Sir
Walter’s	Walters
continuing	continuing
in	in
singlenesa	singleness
requires	requires
explanation	explanation
Be	Be
it	it
known	known
then	then
that	that
Sir	Sir
Walter	Walter
like	like
a	a
good	good
father	father
having	having
met	met
with	with
one	one
or	or
two	two
private	private
dis	disappointments
4	in
PERSUASION	very
a	unreasonable
pointmenta	applications
in	prided
very	himself
unmeonable	null
applicationa	null
himele	null
on	on
remaining	remaining
single	single
for	for
hie	his
dear	dear
daughtzr’a	daughters
take	sake
For	For
one	one
daughter	daughter
hie	his
eldeat	eldest
he	he
would	would
really	really
have	have
given	given
up	up
anything	any
null	thing
which	which
he	he
had	had
not	not
been	been
very	very
much	much
tempted	tempted
to	to
do	do
Elirabeth	Elizabeth
had	had
vucceeded	succeeded
at	at
sixteen	sixteen
to	to
all	all
that	that
will	was
pouible	possible
of	of
her	her
mothera	mothers
right	rights
and	and
connequence	consequence
and	and
being	being
very	very
handaome	handsome
and	and
very	very
like	like
himself	himself
her	her
inﬂuence	influence
had	had
alwayl	always
been	been
great	great
and	and
they	they
had	had
gone	gone
on	on
together	together
moat	most
happily	happily
Hi	His
two	two
other	other
children	children
were	were
of	of
very	very
inferior	inferior
value	value
Mary	Mary
had	had
acquired	acquired
a	a
little	little
artiﬁcial	artificial
importance	importance
by	by
becoming	becoming
Mn	Mrs
Charles	Charles
Muugmve	Musgrove
but	but
Anne	Anne
with	with
an	an
elegance	elegance
of	of
mind	mind
and	and
rweemen	sweetness
of	of
character	character
which	which
mutt	must
have	have
placed	placed
her	her
high	high
with	with
In	any
people	people
of	of
rel	real
underatanding	understanding
was	was
nobody	nobody
with	with
either	either
ther	father
or	or
sister	sister
her	her
word	word
had	had
no	no
weight	weight
her	her
convenience	convenience
wan	was
alwaya	always
to	to
give	give
way—the	wayshe
was	was
only	only
Anne	Anne
To	To
Lady	Lady
Rune“	Russell
indeed	indeed
ehe	she
wan	was
a	a
more	most
dear	dear
and	and
highly	highly
valued	valued
goddaughter	goddaughter
favourite	favourite
and	and
friend	friend
Lady	Lady
Runell	Russell
loved	loved
them	them
all	all
but	but
it	it
wae	was
only	only
in	in
Anne	Anne
that	that
the	she
could	could
fanc	fancy
the	the
mother	mother
to	to
revive	revive
again	again
A	A
few	few
years	years
beiore	before
Anne	Anne
Elliot	Elliot
had	had
been	been
a	a
very	very
pretty	pretty
girl	girl
but	but
her	her
bloom	bloom
had	had
vanished	vanished
early	early
and	and
as	as
even	even
in	in
it	its
height	height
her	her
father	father
had	had
found	found
little	little
to	to
admire	admire
in	in
her	her
so	so
totally	totally
different	different
were	were
her	her
delicate	delicate
features	features
and	and
mil	mild
dark	dark
eyes	eyes
from	from
his	his
own	own
there	there
could	could
be	be
nothing	nothing
in	in
them	them
now	now
that	that
she	she
was	was
fudcd	faded
and	and
thin	thin
to	to
excite	excite
his	his
esteem	esteem
He	He
had	had
never	never
indulged	indulged
much	much
hope	hope
he	he
had	had
now	now
none	none
of	of
ever	ever
reading	reading
her	her
name	name
in	in
any	any
other	other
page	page
of	of
his	his
favourite	favourite
worlt	work
All	All
equality	equality
of	of
alliance	alliance
mutt	must
rest	rest
with	with
Elizabeth	Elizabeth
for	for
Mary	Mary
had	had
merely	merely
connected	connected
herqu	herself
with	with
an	an
old	old
country	country
family	family
of	of
revpectability	respectability
and	and
large	large
fortune	fortune
and	and
had	had
therefore	therefore
given	given
all	all
the	the
honour	honour
and	and
received	received
none	none
Elizabeth	Elizabeth
would	would
one	one
day	day
or	or
other	other
marry	marry
mitably	suitably
It	It
eometimee	sometimes
happen	happens
that	that
a	a
woman	woman
in	is
handomer	handsomer
at	at
twentynine	twentynine
than	than
the	she
was	was
ten	ten
year	years
before	before
and	and
PERSU	null
A8101	null
5	null
generally	generally
speaking	speaking
if	if
there	there
ha	has
been	been
neither	neither
ill	ill
health	health
nor	nor
anxuety	anxiety
it	it
in	is
a	a
time	time
of	of
life	life
at	at
which	which
waner	scarcely
any	any
charm	charm
in	is
lost	lost
It	It
wan	was
no	so
with	with
Elizabeth	Elizabeth
Itill	still
the	the
same	same
handsome	handsome
Mine	Miss
Elliot	Elliot
that	that
the	she
had	had
begun	begun
to	to
be	be
thirteen	thirteen
year	years
ago	ago
and	and
Sir	Sir
Walter	Walter
might	might
be	be
excueed	excused
therefore	therefore
In	in
R	forgetting
etting	null
her	her
age	age
or	or
at	at
least	least
be	be
deemed	deemed
only	only
half	half
a	a
fool	fool
or	for
thinking	thinking
himself	himself
and	and
Elizabeth	Elizabeth
3	as
blooming	blooming
on	as
ever	ever
amidu	amidst
the	the
wreck	wreck
of	of
the	the
good	good
look	looks
of	of
everybody	everybody
elae	else
for	for
he	he
could	could
plainly	plainly
lee	see
how	how
old	old
all	all
the	the
not	rest
of	of
his	his
family	family
and	and
acquaintance	acquaintance
were	were
growing	growing
Anne	Anne
haggard	haggard
Mary	Mary
coane	coarse
every	every
face	face
in	in
the	the
neighbourhood	neighbourhood
wontin	worsting
and	and
the	the
rapid	rapid
increue	increase
of	of
the	the
crow’e	crows
foot	foot
about	about
Lady	Lady
Euell’e	Russells
temple	temples
had	had
long	long
been	been
I	a
diure	distress
to	to
him	him
Elizabeth	Elizabeth
did	did
not	not
quite	quite
equal	equal
her	her
fadser	father
in	in
penonal	personal
contentment	contentment
Thirteen	Thirteen
yearl	years
had	had
seen	seen
her	her
miureel	mistress
of	of
Kellynch	Kellynch
Hall	Hall
preaiding	presiding
and	and
directing	directing
with	with
a	a
eelfPoeaeuion	selfpossession
and	and
decilion	decision
which	which
could	could
never	never
have	have
given	given
the	the
Idea	idea
of	of
her	her
being	being
younger	younger
than	than
the	she
was	was
For	For
thineen	thirteen
years	years
had	had
lllt	she
been	been
doing	doing
the	the
honouu	honours
and	and
laying	laying
down	down
the	the
dometic	domestic
law	law
at	at
home	home
and	and
leading	leading
the	the
‘wny	way
to	to
the	the
chain	chaise
and	and
four	four
and	and
walking	walking
immediately	immediately
after	after
Lady	Lady
Ruuell	Russell
out	out
of	of
all	all
the	the
drawingrooms	drawingrooms
and	and
diningroom	diningrooms
in	in
the	the
country	country
Thirteen	Thirteen
winterl’	winters
revolving	revolving
from	frosts
had	had
been	seen
her	her
opening	opening
every	every
ball	ball
of	of
credit	credit
which	which
a	a
Icanty	scanty
neighbourhood	neighbourhood
allorded	afforded
and	and
thirteen	thirteen
lpringa	springs
Ihewn	shewn
their	their
blossoms	blossoms
as	as
Ihe	she
travelled	travelled
up	up
to	to
London	London
with	with
her	her
father	father
for	for
a	a
few	few
weeh’	weeks
annual	annual
enjo	enjoyment
ment	null
of	of
the	the
great	great
world	world
She	She
had	had
the	the
remembrance	remembrance
0	of
all	all
this	this
Ihe	she
had	had
the	the
conIcioulneea	consciousness
of	of
being	being
nineandtwenty	nineandtwenty
to	to
give	give
her	her
name	some
regreta	regrets
and	and
aorne	some
apprehendone	apprehensions
Ihe	she
wan	was
fully	fully
utillied	satisfied
of	of
being	being
still	still
quite	quite
an	as
handsome	handsome
an	as
ever	ever
but	but
the	she
felt	felt
her	her
approach	approach
to	to
the	the
yearn	years
of	of
danger	danger
and	and
would	would
have	have
72’0in	rejoiced
to	to
be	be
certain	certain
of	of
being	being
pro	properly
rly	solicited
aolicited	null
by	by
baronet—hlood	baronetblood
within	within
the	the
next	next
twerveemonth	twelvemonth
or	or
two	two
Then	Then
mighthe	might
null	she
again	again
take	take
up	up
the	the
book	book
of	of
book	books
with	with
6	as
reasmsxou	much
unnuhenjoymentaaiuher	enjoyment
null	as
null	in
null	her
early	early
youthhnt	youth
null	but
now	now
the	she
liked	liked
it	it
not	not
Alwaya	Always
to	to
bepreaented	be
null	presented
with	with
the	the
date	date
of	of
her	her
own	own
birth	birth
and	and
aee	see
no	no
marriage	marriage
follow	follow
but	but
that	that
of	of
a	a
youngest	youngest
litter	sister
made	made
the	the
book	book
an	an
evil	evil
and	and
more	more
than	than
once	once
when	when
her	her
father	father
had	had
left	left
it	it
n	open
on	on
the	the
table	table
our	near
her	her
had	had
the	she
cloned	closed
it	it
with	with
ave	averted
eyee	eyes
and	and
puahed	pushed
it	it
away	away
She	She
had	had
had	had
a	a
dianppointment	disappointment
moreover	moreover
which	which
that	that
book	book
and	and
npecially	especially
the	the
hitwry	history
«if	of
her	her
own	own
family	family
mun	must
ever	ever
preaent	present
the	the
remembrance	remembrance
of	of
The	The
heir	heir
preaumptive	presumptive
the	the
very	very
William	William
Walter	Walter
Elliot	Elliot
Earp	Esq
whose	whose
righta	rights
had	had
been	been
no	so
generoualy	generously
aupported	supported
by	by
her	her
father	father
had	had
diaappointed	disappointed
her	her
She	She
had	had
while	while
a	a
very	very
young	young
girl	girl
u	as
aoon	soon
u	as
the	she
had	had
known	known
him	him
to	to
be	be
in	in
the	the
event	event
of	of
her	her
having	having
no	no
brother	brother
the	the
future	future
baronet	baronet
meant	meant
to	to
marry	marry
him	him
and	and
her	her
father	father
had	had
always	always
meant	meant
that	that
she	she
should	should
He	He
had	had
not	not
been	been
known	known
to	to
them	them
a	as
a	a
boy	boy
but	but
soon	soon
after	after
Lady	Lady
Elliot’a	Elliots
death	death
Sir	Sir
Walter	Walter
had	had
taught	sought
the	the
acquaintance	acquaintance
and	and
though	though
hia	his
ovemree	overtures
had	had
not	not
been	been
met	met
with	with
any	any
wannth	warmth
he	he
had	had
penevered	persevered
in	in
necking	seeking
it	it
making	making
allowance	allowance
for	for
the	the
modeu	modest
drawinghack	drawingback
of	of
yoth	youth
and	and
in	in
one	one
of	of
their	their
ring	spring
excursions	excursions
to	to
London	London
when	when
Elizabeth	Elizabeth
waa	was
in	in
her	her
at	first
bloom	bloom
Mr	Mr
Elliot	Elliot
had	had
been	been
forced	forced
into	into
the	the
introduction	introduction
He	He
was	was
at	at
that	that
time	time
a	a
very	very
young	young
man	man
just	just
engaged	engaged
in	in
the	the
study	study
of	of
the	the
law	law
and	and
Elizabeth	Elizabeth
found	found
him	him
extremely	extremely
agreeable	agreeable
and	and
every	every
plan	plan
in	in
hia	his
favour	favour
waa	was
conﬁrmed	confirmed
He	He
was	was
invited	invited
to	to
Kellynch	Kellynch
Hall	Hall
he	he
waa	was
talked	talked
of	of
and	and
expected	expected
all	all
the	the
rest	rest
of	of
the	the
year	year
but	but
he	he
never	never
came	came
The	The
following	following
apring	spring
he	he
was	was
aeen	seen
again	again
in	in
town	town
found	found
equally	equally
agreeable	agreeable
again	again
encouraged	encouraged
invited	invited
and	and
expected	expected
and	and
again	again
he	he
did	did
not	not
come	come
and	and
the	the
next	next
tidings	tidings
were	were
that	that
he	he
won	was
married	married
Inﬁeld	Instead
of	of
pushing	pushing
hit	his
fortune	fortune
in	in
the	the
line	line
marked	marked
out	out
for	for
the	the
heir	heir
of	of
the	the
home	house
of	of
Elliot	Elliot
he	he
had	had
purchased	purchased
independence	independence
PIISUASION	by
7	uniting
muniting	himself
W	null
to	to
a	a
rich	rich
woman	woman
of	of
infermr	inferior
SirWalterhadreeentedit	birth
Aathehud	Sir
ofthe	Walter
houaehl‘ie	had
null	resented
null	it
null	As
null	the
null	head
null	of
null	the
null	house
null	he
felt	felt
that	that
he	he
ought	ought
to	to
have	have
Irenel	been
opnnlltaed	consulted
null	especially
after	after
taking	taking
the	the
nun	young
null	man
so	so
in	publicly
y	by
m	the
“yFor	hand
null	For
they	they
mutt	must
halyemlien	have
aeenptogetherly’	been
he	seen
oboerved	together
“	he
null	observed
once	once
at	at
Tattenal’e	Tattersalls
and	and
twice	twice
in	in
the	the
lobby	lobby
of	of
the	the
Home	House
of	of
Commons	Commons
Hie	His
dilapme	disapprobation
‘1ex	was
rested	expressed
but	but
ve	apparently
little	very
rega	little
r	regarded
El	Mr
iot	Elliot
had	had
swimgolog	attempted
null	no
null	apology
and	and
Ihewn	shewn
himlelf	himself
u	as
unoolicitoul	unsolicitous
of	of
being	being
longer	longer
noticed	noticed
by	by
the	the
family	family
0	as
Sir	Sir
Walter	Walter
considered	considered
him	him
unworthy	unworthy
of	of
it	it
all	all
acquainunoe	acquaintance
between	between
them	them
had	had
ceaaed	ceased
Thin	This
very	very
awkward	awkward
hiatory	history
of	of
Mr	Mr
Elliot	Elliot
wu	was
atill	still
after	after
an	an
interval	interval
of	of
eeveml	several
years	years
felt	felt
with	with
anger	anger
null	by
Elizabeth	Elizabeth
who	who
had	had
liked	liked
the	the
man	man
for	for
himtelf	himself
and	and
null	still
more	more
for	for
being	being
her	her
We	fathers
heir	heir
and	and
whore	whose
mug	strong
family	family
gradecouldoeeonl	pride
iu	could
biauapro	see
rmatchforSir	only
alter	in
Elliot’t	him
el	a
eat	proper
null	match
null	for
null	Sir
null	Walter
null	Elliots
null	eldest
daughter	daughter
here	There
was	was
not	not
I	a
baronet	baronet
from	from
A	A
to	to
Z	Z
whom	whom
her	her
feelin	feelings
could	could
have	have
no	so
willingly	willingly
acknowledged	acknowledged
«I	as
nn	an
equal	equal
ct	Yet
no	so
miacnbly	miserably
had	had
he	he
conducted	conducted
hirmelf	himself
that	that
though	though
she	she
was	was
at	at
this	this
prenent	present
time	time
the	the
mm	summer
of	of
1814	1814
wearin	wearing
black	black
ribbonfor	ribbons
hi	for
w	his
e	wife
the	she
could	could
not	not
admit	admit
him	him
to	to
null	be
worth	worth
thinking	thinking
of	of
again	again
The	The
diugmoe	disgrace
of	of
his	his
lint	first
marriage	marriage
night	might
In	perhaps
altherewu	as
null	there
null	was
no	no
mean	reason
to	to
ruppooe	suppose
it	it
perpetuated	perpetuated
if	by
ring	offspring
have	have
been	been
got	got
over	over
had	had
he	he
not	not
done	done
worse	worse
but	but
he	he
had	had
an	as
by	by
the	the
accunnrna	accustomary
intervention	intervention
of	of
kind	kind
liiendal	friends
mhad	they
alawn	had
inform	been
ken	informed
null	spoken
most	most
diarr‘Pectﬁll	disrespectfully
em	of
moot	them
Ill	all
bin	most
and	slightingly
contem	and
oualy	contemptuously
o	of
the	the
very	very
blood	blood
he	he
helogugedgtz	belonged
null	to
and	and
the	the
hougtnun	honours
which	which
were	were
hereafter	hereafter
to	to
be	be
llil	his
own	own
Thi	This
could	could
not	not
he	be
aned	pardoned
uch	Such
were	were
Elizabeth	Elizabeth
Elliot’s	Elliots
sentiment	sentiments
Ind	and
tenntionii	sensations
auch	such
the	the
cares	cares
to	to
alloy	alloy
the	the
agitationl	agitations
to	to
null	vary
the	the
eameneu	sameness
and	and
the	the
elegance	elegance
the	the
proaperity	prosperity
1	and
the	the
P	nothingness
havyﬁlhufhkuademhmddtemvdme	of
oerShepherdhiIiBm‘vﬁwhiu	her
null	scene
null	of
null	life
null	such
null	the
null	feelings
null	to
null	give
null	interest
null	to
null	a
null	long
null	uneventful
null	residence
null	in
null	one
null	country
null	circle
null	to
null	fill
null	the
null	vacancies
null	which
null	there
null	were
null	no
null	habits
null	of
null	utility
null	abroad
null	no
null	talents
null	or
null	accomplishments
null	for
null	home
null	to
null	occupy
null	But
null	now
null	another
null	occupation
null	and
null	solicitude
null	of
null	mind
null	was
null	beginning
null	to
null	be
null	added
null	to
null	these
null	Her
null	father
null	was
null	growing
null	distressed
null	for
null	money
null	She
null	knew
null	that
null	when
null	he
null	now
null	took
null	up
null	the
null	Baronetage
null	it
null	was
null	to
null	drive
null	the
null	heavy
null	bills
null	of
null	his
null	tradespeople
null	and
null	the
null	unwelcome
null	hints
null	of
null	Mr
null	Shepherd
null	his
null	agent
null	from
null	his
null	thoughts
null	The
Kellynch	Kellynch
property“	property
null	was
good	good
but	but
not	not
equal	equal
me	to
in	Sir
Waltero	Walters
Velaon	apprehension
of	of
the	the
tenor	state
hile	required
null	in
null	its
null	possessor
null	While
Lady	Lady
Elliot	Elliot
lived	lived
there	there
had	had
been	been
mthod	method
moderation	moderation
and	and
enormity	economy
which	which
Ind	had
jun	just
kept	kept
him	him
withinhiliocome	within
botwidihethaddiedallnchrimmindednemandfromthaperiodhehadhemmtly	his
null	income
null	but
null	with
null	her
null	had
null	died
null	all
null	such
null	rightmindedness
null	and
null	from
null	that
null	period
null	he
null	had
null	been
null	constantly
exceeding	exceeding
it	it
It	It
had	had
not	not
been	been
poibleforhimto	possible
lent	for
null	him
null	to
null	spend
null	less
he	he
hall	had
done	done
nothing	nothing
hot	but
what	what
Sir	Sir
Walter	Walter
‘	Elliot
Wu	was
imperioualy	imperiously
called	called
on	on
to	to
do	do
but	but
blamele	blameless
